VocabularyEN,ExampleSentences,ExampleSentencesCH,Synonym,SynonymCH
abandon,abandon例句测试1,abandon例句测试翻译1,abandon同义词测试1,abandon同义词测试翻译1
abandon,abandon例句测试2,abandon例句测试翻译2,abandon同义词测试2,abandon同义词测试翻译2
abandoned,abandoned例句测试1,abandoned例句测试翻译1,abandoned同义词测试1,abandoned同义词测试翻译1
abandoned,abandoned例句测试2,abandoned例句测试翻译2,abandoned同义词测试2,abandoned同义词测试翻译2
abash,abash例句测试1,abash例句测试翻译1,abash同义词测试1,abash同义词测试翻译1
abash,abash例句测试2,abash例句测试翻译2,abash同义词测试2,abash同义词测试翻译2
abashed,abashed例句测试1,abashed例句测试翻译1,abashed同义词测试1,abashed同义词测试翻译1
abashed,abashed例句测试2,abashed例句测试翻译2,abashed同义词测试2,abashed同义词测试翻译2
abate,abate例句测试1,abate例句测试翻译1,abate同义词测试1,abate同义词测试翻译1
abate,abate例句测试2,abate例句测试翻译2,abate同义词测试2,abate同义词测试翻译2
abbreviate,abbreviate例句测试1,abbreviate例句测试翻译1,abbreviate同义词测试1,abbreviate同义词测试翻译1
abbreviate,abbreviate例句测试2,abbreviate例句测试翻译2,abbreviate同义词测试2,abbreviate同义词测试翻译2
abdicate,abdicate例句测试1,abdicate例句测试翻译1,abdicate同义词测试1,abdicate同义词测试翻译1
abdicate,abdicate例句测试2,abdicate例句测试翻译2,abdicate同义词测试2,abdicate同义词测试翻译2
abduct,abduct例句测试1,abduct例句测试翻译1,abduct同义词测试1,abduct同义词测试翻译1
abduct,abduct例句测试2,abduct例句测试翻译2,abduct同义词测试2,abduct同义词测试翻译2
aberrant,aberrant例句测试1,aberrant例句测试翻译1,aberrant同义词测试1,aberrant同义词测试翻译1
aberrant,aberrant例句测试2,aberrant例句测试翻译2,aberrant同义词测试2,aberrant同义词测试翻译2
aberration,aberration例句测试1,aberration例句测试翻译1,aberration同义词测试1,aberration同义词测试翻译1
aberration,aberration例句测试2,aberration例句测试翻译2,aberration同义词测试2,aberration同义词测试翻译2
abet,abet例句测试1,abet例句测试翻译1,abet同义词测试1,abet同义词测试翻译1
abet,abet例句测试2,abet例句测试翻译2,abet同义词测试2,abet同义词测试翻译2
abeyance,abeyance例句测试1,abeyance例句测试翻译1,abeyance同义词测试1,abeyance同义词测试翻译1
abeyance,abeyance例句测试2,abeyance例句测试翻译2,abeyance同义词测试2,abeyance同义词测试翻译2
abhor,abhor例句测试1,abhor例句测试翻译1,abhor同义词测试1,abhor同义词测试翻译1
abhor,abhor例句测试2,abhor例句测试翻译2,abhor同义词测试2,abhor同义词测试翻译2
abhorrent,abhorrent例句测试1,abhorrent例句测试翻译1,abhorrent同义词测试1,abhorrent同义词测试翻译1
abhorrent,abhorrent例句测试2,abhorrent例句测试翻译2,abhorrent同义词测试2,abhorrent同义词测试翻译2
abide,abide例句测试1,abide例句测试翻译1,abide同义词测试1,abide同义词测试翻译1
abide,abide例句测试2,abide例句测试翻译2,abide同义词测试2,abide同义词测试翻译2
ability,ability例句测试1,ability例句测试翻译1,ability同义词测试1,ability同义词测试翻译1
ability,ability例句测试2,ability例句测试翻译2,ability同义词测试2,ability同义词测试翻译2
abject,abject例句测试1,abject例句测试翻译1,abject同义词测试1,abject同义词测试翻译1
abject,abject例句测试2,abject例句测试翻译2,abject同义词测试2,abject同义词测试翻译2
abjure,abjure例句测试1,abjure例句测试翻译1,abjure同义词测试1,abjure同义词测试翻译1
abjure,abjure例句测试2,abjure例句测试翻译2,abjure同义词测试2,abjure同义词测试翻译2
ablaze,ablaze例句测试1,ablaze例句测试翻译1,ablaze同义词测试1,ablaze同义词测试翻译1
ablaze,ablaze例句测试2,ablaze例句测试翻译2,ablaze同义词测试2,ablaze同义词测试翻译2
able,able例句测试1,able例句测试翻译1,able同义词测试1,able同义词测试翻译1
able,able例句测试2,able例句测试翻译2,able同义词测试2,able同义词测试翻译2
ablution,ablution例句测试1,ablution例句测试翻译1,ablution同义词测试1,ablution同义词测试翻译1
ablution,ablution例句测试2,ablution例句测试翻译2,ablution同义词测试2,ablution同义词测试翻译2
abnegate,abnegate例句测试1,abnegate例句测试翻译1,abnegate同义词测试1,abnegate同义词测试翻译1
abnegate,abnegate例句测试2,abnegate例句测试翻译2,abnegate同义词测试2,abnegate同义词测试翻译2
abnormal,abnormal例句测试1,abnormal例句测试翻译1,abnormal同义词测试1,abnormal同义词测试翻译1
abnormal,abnormal例句测试2,abnormal例句测试翻译2,abnormal同义词测试2,abnormal同义词测试翻译2
aboard,aboard例句测试1,aboard例句测试翻译1,aboard同义词测试1,aboard同义词测试翻译1
aboard,aboard例句测试2,aboard例句测试翻译2,aboard同义词测试2,aboard同义词测试翻译2
abolish,abolish例句测试1,abolish例句测试翻译1,abolish同义词测试1,abolish同义词测试翻译1
abolish,abolish例句测试2,abolish例句测试翻译2,abolish同义词测试2,abolish同义词测试翻译2
abolition,abolition例句测试1,abolition例句测试翻译1,abolition同义词测试1,abolition同义词测试翻译1
abolition,abolition例句测试2,abolition例句测试翻译2,abolition同义词测试2,abolition同义词测试翻译2
abominate,abominate例句测试1,abominate例句测试翻译1,abominate同义词测试1,abominate同义词测试翻译1
abominate,abominate例句测试2,abominate例句测试翻译2,abominate同义词测试2,abominate同义词测试翻译2
aboriginal,aboriginal例句测试1,aboriginal例句测试翻译1,aboriginal同义词测试1,aboriginal同义词测试翻译1
aboriginal,aboriginal例句测试2,aboriginal例句测试翻译2,aboriginal同义词测试2,aboriginal同义词测试翻译2
abortive,abortive例句测试1,abortive例句测试翻译1,abortive同义词测试1,abortive同义词测试翻译1
abortive,abortive例句测试2,abortive例句测试翻译2,abortive同义词测试2,abortive同义词测试翻译2
aboveboard,aboveboard例句测试1,aboveboard例句测试翻译1,aboveboard同义词测试1,aboveboard同义词测试翻译1
aboveboard,aboveboard例句测试2,aboveboard例句测试翻译2,aboveboard同义词测试2,aboveboard同义词测试翻译2
abrade,abrade例句测试1,abrade例句测试翻译1,abrade同义词测试1,abrade同义词测试翻译1
abrade,abrade例句测试2,abrade例句测试翻译2,abrade同义词测试2,abrade同义词测试翻译2
abrasion,abrasion例句测试1,abrasion例句测试翻译1,abrasion同义词测试1,abrasion同义词测试翻译1
abrasion,abrasion例句测试2,abrasion例句测试翻译2,abrasion同义词测试2,abrasion同义词测试翻译2
abrasive,abrasive例句测试1,abrasive例句测试翻译1,abrasive同义词测试1,abrasive同义词测试翻译1
abrasive,abrasive例句测试2,abrasive例句测试翻译2,abrasive同义词测试2,abrasive同义词测试翻译2
abreast,abreast例句测试1,abreast例句测试翻译1,abreast同义词测试1,abreast同义词测试翻译1
abreast,abreast例句测试2,abreast例句测试翻译2,abreast同义词测试2,abreast同义词测试翻译2
abridge,abridge例句测试1,abridge例句测试翻译1,abridge同义词测试1,abridge同义词测试翻译1
abridge,abridge例句测试2,abridge例句测试翻译2,abridge同义词测试2,abridge同义词测试翻译2
abroad,abroad例句测试1,abroad例句测试翻译1,abroad同义词测试1,abroad同义词测试翻译1
abroad,abroad例句测试2,abroad例句测试翻译2,abroad同义词测试2,abroad同义词测试翻译2
abrogate,abrogate例句测试1,abrogate例句测试翻译1,abrogate同义词测试1,abrogate同义词测试翻译1
abrogate,abrogate例句测试2,abrogate例句测试翻译2,abrogate同义词测试2,abrogate同义词测试翻译2
abrupt,abrupt例句测试1,abrupt例句测试翻译1,abrupt同义词测试1,abrupt同义词测试翻译1
abrupt,abrupt例句测试2,abrupt例句测试翻译2,abrupt同义词测试2,abrupt同义词测试翻译2
abscission,abscission例句测试1,abscission例句测试翻译1,abscission同义词测试1,abscission同义词测试翻译1
abscission,abscission例句测试2,abscission例句测试翻译2,abscission同义词测试2,abscission同义词测试翻译2
abscond,abscond例句测试1,abscond例句测试翻译1,abscond同义词测试1,abscond同义词测试翻译1
abscond,abscond例句测试2,abscond例句测试翻译2,abscond同义词测试2,abscond同义词测试翻译2
absence,absence例句测试1,absence例句测试翻译1,absence同义词测试1,absence同义词测试翻译1
absence,absence例句测试2,absence例句测试翻译2,absence同义词测试2,absence同义词测试翻译2
absent,absent例句测试1,absent例句测试翻译1,absent同义词测试1,absent同义词测试翻译1
absent,absent例句测试2,absent例句测试翻译2,absent同义词测试2,absent同义词测试翻译2
absenteeism,absenteeism例句测试1,absenteeism例句测试翻译1,absenteeism同义词测试1,absenteeism同义词测试翻译1
absenteeism,absenteeism例句测试2,absenteeism例句测试翻译2,absenteeism同义词测试2,absenteeism同义词测试翻译2
absolute,absolute例句测试1,absolute例句测试翻译1,absolute同义词测试1,absolute同义词测试翻译1
absolute,absolute例句测试2,absolute例句测试翻译2,absolute同义词测试2,absolute同义词测试翻译2
absolve,absolve例句测试1,absolve例句测试翻译1,absolve同义词测试1,absolve同义词测试翻译1
absolve,absolve例句测试2,absolve例句测试翻译2,absolve同义词测试2,absolve同义词测试翻译2
absorb,absorb例句测试1,absorb例句测试翻译1,absorb同义词测试1,absorb同义词测试翻译1
absorb,absorb例句测试2,absorb例句测试翻译2,absorb同义词测试2,absorb同义词测试翻译2
absorbing,absorbing例句测试1,absorbing例句测试翻译1,absorbing同义词测试1,absorbing同义词测试翻译1
absorbing,absorbing例句测试2,absorbing例句测试翻译2,absorbing同义词测试2,absorbing同义词测试翻译2
abstain,abstain例句测试1,abstain例句测试翻译1,abstain同义词测试1,abstain同义词测试翻译1
abstain,abstain例句测试2,abstain例句测试翻译2,abstain同义词测试2,abstain同义词测试翻译2
abstemious,abstemious例句测试1,abstemious例句测试翻译1,abstemious同义词测试1,abstemious同义词测试翻译1
abstemious,abstemious例句测试2,abstemious例句测试翻译2,abstemious同义词测试2,abstemious同义词测试翻译2
abstention,abstention例句测试1,abstention例句测试翻译1,abstention同义词测试1,abstention同义词测试翻译1
abstention,abstention例句测试2,abstention例句测试翻译2,abstention同义词测试2,abstention同义词测试翻译2
abstentious,abstentious例句测试1,abstentious例句测试翻译1,abstentious同义词测试1,abstentious同义词测试翻译1
abstentious,abstentious例句测试2,abstentious例句测试翻译2,abstentious同义词测试2,abstentious同义词测试翻译2
abstinence,abstinence例句测试1,abstinence例句测试翻译1,abstinence同义词测试1,abstinence同义词测试翻译1
abstinence,abstinence例句测试2,abstinence例句测试翻译2,abstinence同义词测试2,abstinence同义词测试翻译2
abstract,abstract例句测试1,abstract例句测试翻译1,abstract同义词测试1,abstract同义词测试翻译1
abstract,abstract例句测试2,abstract例句测试翻译2,abstract同义词测试2,abstract同义词测试翻译2
abstraction,abstraction例句测试1,abstraction例句测试翻译1,abstraction同义词测试1,abstraction同义词测试翻译1
abstraction,abstraction例句测试2,abstraction例句测试翻译2,abstraction同义词测试2,abstraction同义词测试翻译2
abstruse,abstruse例句测试1,abstruse例句测试翻译1,abstruse同义词测试1,abstruse同义词测试翻译1
abstruse,abstruse例句测试2,abstruse例句测试翻译2,abstruse同义词测试2,abstruse同义词测试翻译2
absurd,absurd例句测试1,absurd例句测试翻译1,absurd同义词测试1,absurd同义词测试翻译1
absurd,absurd例句测试2,absurd例句测试翻译2,absurd同义词测试2,absurd同义词测试翻译2
abundance,abundance例句测试1,abundance例句测试翻译1,abundance同义词测试1,abundance同义词测试翻译1
abundance,abundance例句测试2,abundance例句测试翻译2,abundance同义词测试2,abundance同义词测试翻译2
abundant,abundant例句测试1,abundant例句测试翻译1,abundant同义词测试1,abundant同义词测试翻译1
abundant,abundant例句测试2,abundant例句测试翻译2,abundant同义词测试2,abundant同义词测试翻译2
abuse,abuse例句测试1,abuse例句测试翻译1,abuse同义词测试1,abuse同义词测试翻译1
abuse,abuse例句测试2,abuse例句测试翻译2,abuse同义词测试2,abuse同义词测试翻译2
abusive,abusive例句测试1,abusive例句测试翻译1,abusive同义词测试1,abusive同义词测试翻译1
abusive,abusive例句测试2,abusive例句测试翻译2,abusive同义词测试2,abusive同义词测试翻译2
abut,abut例句测试1,abut例句测试翻译1,abut同义词测试1,abut同义词测试翻译1
abut,abut例句测试2,abut例句测试翻译2,abut同义词测试2,abut同义词测试翻译2
abysmal,abysmal例句测试1,abysmal例句测试翻译1,abysmal同义词测试1,abysmal同义词测试翻译1
abysmal,abysmal例句测试2,abysmal例句测试翻译2,abysmal同义词测试2,abysmal同义词测试翻译2
academic,academic例句测试1,academic例句测试翻译1,academic同义词测试1,academic同义词测试翻译1
academic,academic例句测试2,academic例句测试翻译2,academic同义词测试2,academic同义词测试翻译2
academician,academician例句测试1,academician例句测试翻译1,academician同义词测试1,academician同义词测试翻译1
academician,academician例句测试2,academician例句测试翻译2,academician同义词测试2,academician同义词测试翻译2
